id,title,year,area,priority,tags,status,pdf,text,card,source,pages,bytes,sha256
batzner-2024-efficientad,EfficientAD: Accurate Visual Anomaly Detection at Millisecond-Level Latencies,2024,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/Batzner_2024_EfficientAD.pdf,text/batzner-2024-efficientad.txt,cards/batzner-2024-efficientad.md,https://arxiv.org/pdf/2303.14535,27,13042722,d7658c53a9ccdbcd3a5bc56f1943b42c912f74c4a792c6498985a52b9135b5b6
cao-2023-segmentanyanomaly,Segment Any Anomaly without Training via Hybrid Prompt Regularization,2023,LVLM / SAM anomaly,background,anomaly-detection;lvlm-sam-anomaly;prompt-learning;sam,unread,PDFs/Cao_2023_SegmentAnyAnomaly.pdf,text/cao-2023-segmentanyanomaly.txt,cards/cao-2023-segmentanyanomaly.md,https://arxiv.org/pdf/2305.10724,13,3060690,953828a9554536b3b0bebf49b778fbc3995ebfe8bf7daa509bd3012d45785e49
cao-2023-vand-saa-report,2nd Place Winning Solution for the CVPR2023 VAND Challenge: Multimodal Prompting for Data-centric Anomaly Detection,2023,LVLM / SAM anomaly,background,anomaly-detection;lvlm-sam-anomaly;prompt-learning,unread,PDFs/Cao_2023_VAND_SAA_Report.pdf,text/cao-2023-vand-saa-report.txt,cards/cao-2023-vand-saa-report.md,https://arxiv.org/pdf/2306.09067,6,5580894,b4a4d14079722ce67131f0f0513c99c43a744ad6cca22f9fcc24866926bc72ac
chen-2023-april-gan,APRIL-GAN: A Zero-/Few-Shot Anomaly Classification and Segmentation Method for CVPR 2023 VAND Workshop Challenge,2023,CLIP / ZSAD,core,anomaly-detection;clip;clip-zsad;zero-shot;zsad,unread,PDFs/Chen_2023_APRIL-GAN.pdf,text/chen-2023-april-gan.txt,cards/chen-2023-april-gan.md,https://arxiv.org/pdf/2305.17382,10,3161643,33c2229ae178eddb5f1881eb49289145b6326b6e66bc3683ed01953df1bf3d4a
chizat-2018-unbalancedoptimaltransport,Scaling Algorithms for Unbalanced Optimal Transport Problems,2018,OT / UOT,method,optimal-transport;ot-uot;uot,unread,PDFs/Chizat_2018_UnbalancedOptimalTransport.pdf,text/chizat-2018-unbalancedoptimaltransport.txt,cards/chizat-2018-unbalancedoptimaltransport.md,https://arxiv.org/pdf/1607.05816,47,2756374,4afb86349eb0233cb368c696b31a127d85eb6ce9d0e4477be5ff7f580feecb44
compositional-2024-hyperbolicvlmentailment,Compositional Entailment Learning for Hyperbolic Vision-Language Models,2024,Hyperbolic VLM,supporting,entailment;hyperbolic;hyperbolic-vlm;vlm,unread,PDFs/Compositional_2024_HyperbolicVLMEntailment.pdf,text/compositional-2024-hyperbolicvlmentailment.txt,cards/compositional-2024-hyperbolicvlmentailment.md,https://arxiv.org/pdf/2410.06912,29,8931802,36aa158dd3f4f3c3016d307ab252a432bb421895456379286c40fd9f240ea2bf
courty-2017-optimaltransportdomainadaptation,Optimal Transport for Domain Adaptation,2017,OT / UOT,background,domain-adaptation;optimal-transport;ot-uot,unread,PDFs/Courty_2017_OptimalTransportDomainAdaptation.pdf,text/courty-2017-optimaltransportdomainadaptation.txt,cards/courty-2017-optimaltransportdomainadaptation.md,https://arxiv.org/pdf/1507.00504,14,3923211,31e68f607633de0101232a5990a489172da0c5c349a74e9840508f30e8dd4513
cuturi-2013-sinkhorndistances,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,2013,OT / UOT,method,optimal-transport;ot-uot,unread,PDFs/Cuturi_2013_SinkhornDistances.pdf,text/cuturi-2013-sinkhorndistances.txt,cards/cuturi-2013-sinkhorndistances.md,https://proceedings.neurips.cc/paper_files/paper/2013/file/af21d0c97db2e27e13572cbf59eb343d-Paper.pdf,9,369066,ec3bb83fc9cc12be1c703d0b1bf99c170eb19c08a585ad910a696f25f596c78b
daubechies-2011-synchrosqueezedwavelettransforms,Synchrosqueezed Wavelet Transforms: An Empirical Mode Decomposition-like Tool,2011,Wavelet / frequency,supporting,frequency;wavelet-frequency,unread,PDFs/Daubechies_2011_SynchrosqueezedWaveletTransforms.pdf,text/daubechies-2011-synchrosqueezedwavelettransforms.txt,cards/daubechies-2011-synchrosqueezedwavelettransforms.md,https://arxiv.org/pdf/0912.2437,23,1234498,ea59843b361914c707f721b528951f3a52ac18e17c9a010887a65b02e9e10565
defard-2021-padim,PaDiM: A Patch Distribution Modeling Framework for Anomaly Detection and Localization,2021,Industrial AD baseline,background,anomaly-detection;industrial-ad;industrial-ad-baseline,unread,PDFs/Defard_2021_PaDiM.pdf,text/defard-2021-padim.txt,cards/defard-2021-padim.md,https://arxiv.org/pdf/2011.08785,7,1201762,f00a3650715b1478784d93be1ad365e9dbb8bcb7381433404bbaa6b227650bed
