26-08-05 16:51:17.856 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| carpet     |          98.7 |          96.9 |         100   |      100   |
| bottle     |          89.3 |          80.8 |          86.4 |       95.4 |
| hazelnut   |          97   |          93.8 |          94.8 |       97.1 |
| leather    |          98.8 |          97.3 |         100   |      100   |
| cable      |          79.7 |          63.5 |          78.6 |       84.7 |
| capsule    |          95.8 |          91   |          94.3 |       98.8 |
| grid       |          98   |          93.3 |          98.2 |       99.2 |
| pill       |          89.6 |          91.7 |          86.7 |       97.3 |
| transistor |          71.2 |          57.3 |          78.4 |       76.1 |
| metal_nut  |          77.2 |          74.6 |          92.5 |       98.3 |
| screw      |          96.4 |          87.1 |          83.5 |       92.9 |
| toothbrush |          92.3 |          89.6 |          76.7 |       89.9 |
| zipper     |          92.2 |          76.7 |          95.6 |       98.7 |
| tile       |          94.6 |          89.8 |          98.2 |       99.3 |
| wood       |          96.6 |          95.1 |          97.7 |       99.3 |
| mean       |          91.1 |          85.2 |          90.8 |       95.1 |
