26-08-04 12:42:10.360 - INFO: 
| objects    |   pixel_auroc |   pixel_aupro |   image_auroc |   image_ap |
|:-----------|--------------:|--------------:|--------------:|-----------:|
| carpet     |          98.4 |          96.5 |         100   |      100   |
| bottle     |          86   |          79.3 |          89.7 |       97   |
| hazelnut   |          90.1 |          92   |          95.7 |       97.6 |
| leather    |          98.3 |          96.2 |         100   |      100   |
| cable      |          90.4 |          75.7 |          87.6 |       92.2 |
| capsule    |          96.7 |          93   |          90.3 |       98   |
| grid       |          96.3 |          87.2 |          92.6 |       97.1 |
| pill       |          90.9 |          94.4 |          81.9 |       95.2 |
| transistor |          73.1 |          57.8 |          86.8 |       82.6 |
| metal_nut  |          86.3 |          78.2 |          93.1 |       98.2 |
| screw      |          97.2 |          90.3 |          83.7 |       93.4 |
| toothbrush |          94.2 |          89.1 |          91.9 |       97   |
| zipper     |          92.7 |          77.1 |          97   |       99.2 |
| tile       |          90.2 |          85.8 |          99.9 |      100   |
| wood       |          94.5 |          92.1 |          98.2 |       99.4 |
| mean       |          91.7 |          85.6 |          92.6 |       96.5 |
