class,defect_type,metric,n,p_value,spearman_rho_vs_severity,variant
capsule,scratch,mask_mean,3,0.6666666666666667,0.5,cosine
capsule,scratch,region_gap,3,0.6666666666666667,0.5,cosine
capsule,scratch,pixel_auc,3,0.6666666666666667,0.5,cosine
capsule,scratch,normal_energy_region_gap,0,nan,nan,cosine
capsule,scratch,energy_gap_region_gap,0,nan,nan,cosine
capsule,scratch,score_energy_region_gap,0,nan,nan,cosine
capsule,scratch,transport_score_region_gap,0,nan,nan,cosine
capsule,scratch,unmatched_ratio_region_gap,0,nan,nan,cosine
capsule,scratch,matched_cost_region_gap,0,nan,nan,cosine
capsule,scratch,mask_mean,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,region_gap,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,pixel_auc,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,normal_energy_region_gap,0,nan,nan,uot_hyperbolic_cone
capsule,scratch,energy_gap_region_gap,0,nan,nan,uot_hyperbolic_cone
capsule,scratch,score_energy_region_gap,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,transport_score_region_gap,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,unmatched_ratio_region_gap,3,0.6666666666666667,0.5,uot_hyperbolic_cone
capsule,scratch,matched_cost_region_gap,3,0.6666666666666667,0.5,uot_hyperbolic_cone
