class,defect_type,metric,n,p_value,spearman_rho_vs_severity,variant
capsule,noise_patch,mask_mean,80,1.5027574532913091e-16,0.7647598282707512,cosine
capsule,noise_patch,region_gap,80,1.7740538758995968e-16,0.7636115402403146,cosine
capsule,noise_patch,pixel_auc,80,1.1071396931276983e-17,0.7819841487272996,cosine
capsule,noise_patch,normal_energy_region_gap,0,nan,nan,cosine
capsule,noise_patch,energy_gap_region_gap,0,nan,nan,cosine
capsule,noise_patch,score_energy_region_gap,0,nan,nan,cosine
capsule,noise_patch,mask_mean,80,1.8915266755116766e-20,0.8183466030244574,cone_normal_only
capsule,noise_patch,region_gap,80,8.69492780209765e-20,0.8103085868114015,cone_normal_only
capsule,noise_patch,pixel_auc,80,2.1923785724201763e-21,0.8290639579751986,cone_normal_only
capsule,noise_patch,normal_energy_region_gap,80,8.69492780209765e-20,0.8103085868114015,cone_normal_only
capsule,noise_patch,energy_gap_region_gap,0,nan,nan,cone_normal_only
capsule,noise_patch,score_energy_region_gap,80,8.69492780209765e-20,0.8103085868114015,cone_normal_only
capsule,noise_patch,mask_mean,80,1.7529175485212001e-19,0.8064809600432795,cone_contrastive
capsule,noise_patch,region_gap,80,1.5938814559783206e-18,0.7938497917084775,cone_contrastive
capsule,noise_patch,pixel_auc,80,3.984205316303069e-19,0.8018878079215335,cone_contrastive
capsule,noise_patch,normal_energy_region_gap,80,8.69492780209765e-20,0.8103085868114015,cone_contrastive
capsule,noise_patch,energy_gap_region_gap,80,1.5938814559783206e-18,0.7938497917084775,cone_contrastive
capsule,noise_patch,score_energy_region_gap,80,1.5938814559783206e-18,0.7938497917084775,cone_contrastive
capsule,color_shift,mask_mean,80,1.526111419520412e-09,0.6128030455763126,cosine
capsule,color_shift,region_gap,80,1.8245103785280484e-09,0.6105064695154395,cosine
capsule,color_shift,pixel_auc,80,1.0313009039337896e-09,0.617778960374871,cosine
capsule,color_shift,normal_energy_region_gap,0,nan,nan,cosine
capsule,color_shift,energy_gap_region_gap,0,nan,nan,cosine
capsule,color_shift,score_energy_region_gap,0,nan,nan,cosine
capsule,color_shift,mask_mean,80,5.355448581708908e-12,0.6771071752807603,cone_normal_only
capsule,color_shift,region_gap,80,1.5129948058923794e-11,0.6663898203300188,cone_normal_only
capsule,color_shift,pixel_auc,80,4.24547960733949e-11,0.6552897027024654,cone_normal_only
capsule,color_shift,normal_energy_region_gap,80,1.5129948058923794e-11,0.6663898203300188,cone_normal_only
capsule,color_shift,energy_gap_region_gap,0,nan,nan,cone_normal_only
capsule,color_shift,score_energy_region_gap,80,1.5129948058923794e-11,0.6663898203300188,cone_normal_only
capsule,color_shift,mask_mean,80,2.2491616291845483e-11,0.6621794308850849,cone_contrastive
capsule,color_shift,region_gap,80,1.1423219528223286e-10,0.644189585074912,cone_contrastive
capsule,color_shift,pixel_auc,80,1.0683298076510988e-10,0.6449551104285364,cone_contrastive
capsule,color_shift,normal_energy_region_gap,80,1.5129948058923794e-11,0.6663898203300188,cone_contrastive
capsule,color_shift,energy_gap_region_gap,80,1.1423219528223286e-10,0.644189585074912,cone_contrastive
capsule,color_shift,score_energy_region_gap,80,1.1423219528223286e-10,0.644189585074912,cone_contrastive
capsule,cutout,mask_mean,80,4.2540763173453917e-07,0.5301263073848801,cosine
capsule,cutout,region_gap,80,3.3860948008362937e-07,0.5339539341530019,cosine
capsule,cutout,pixel_auc,80,2.434815327400877e-10,0.6353860435082316,cosine
capsule,cutout,normal_energy_region_gap,0,nan,nan,cosine
capsule,cutout,energy_gap_region_gap,0,nan,nan,cosine
capsule,cutout,score_energy_region_gap,0,nan,nan,cosine
capsule,cutout,mask_mean,80,5.7907923054500634e-09,0.595195962442952,cone_normal_only
capsule,cutout,region_gap,80,2.0535685682570436e-09,0.6089754188081907,cone_normal_only
capsule,cutout,pixel_auc,80,3.207632439505078e-11,0.6583518041169629,cone_normal_only
capsule,cutout,normal_energy_region_gap,80,2.3099328634610416e-09,0.6074443681009419,cone_normal_only
capsule,cutout,energy_gap_region_gap,0,nan,nan,cone_normal_only
